表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
北見,名詞,固有名詞,人名,姓,*,*,北見,キタミ,キタミ,ふしぎな老人
菊雄,名詞,固有名詞,人名,名,*,*,菊雄,キクオ,キクオ,ふしぎな老人
君,名詞,接尾,人名,*,*,*,君,クン,クン,ふしぎな老人
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,ふしぎな老人
、,記号,読点,*,*,*,*,、,、,、,ふしぎな老人
小学校,名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー,ふしぎな老人
の,助詞,連体化,*,*,*,*,の,ノ,ノ,ふしぎな老人
四年生,名詞,固有名詞,一般,*,*,*,四年生,ヨネンセイ,ヨネンセイ,ふしぎな老人
でし,助動詞,*,*,*,特殊・デス,連用形,です,デシ,デシ,ふしぎな老人
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,ふしぎな老人
。,記号,句点,*,*,*,*,。,。,。,ふしぎな老人
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ,ふしぎな老人
うち,名詞,一般,*,*,*,*,うち,ウチ,ウチ,ふしぎな老人
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,ふしぎな老人
東京,名詞,固有名詞,地域,一般,*,*,東京,トウキョウ,トーキョー,ふしぎな老人
の,助詞,連体化,*,*,*,*,の,ノ,ノ,ふしぎな老人
豊島区,名詞,固有名詞,地域,一般,*,*,豊島区,トシマク,トシマク,ふしぎな老人
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,ふしぎな老人
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,ふしぎな老人
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,ふしぎな老人
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,ふしぎな老人
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,ふしぎな老人
、,記号,読点,*,*,*,*,、,、,、,ふしぎな老人
近く,名詞,副詞可能,*,*,*,*,近く,チカク,チカク,ふしぎな老人
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,ふしぎな老人
小さい,形容詞,自立,*,*,形容詞・アウオ段,基本形,小さい,チイサイ,チーサイ,ふしぎな老人
公園,名詞,一般,*,*,*,*,公園,コウエン,コーエン,ふしぎな老人
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,ふしぎな老人
あり,動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,ふしぎな老人
、,記号,読点,*,*,*,*,、,、,、,ふしぎな老人
北見,名詞,固有名詞,人名,姓,*,*,北見,キタミ,キタミ,ふしぎな老人
君,名詞,接尾,人名,*,*,*,君,クン,クン,ふしぎな老人
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,ふしぎな老人
、,記号,読点,*,*,*,*,、,、,、,ふしぎな老人
友だち,名詞,一般,*,*,*,*,友だち,トモダチ,トモダチ,ふしぎな老人
と,助詞,並立助詞,*,*,*,*,と,ト,ト,ふしぎな老人
いっしょ,名詞,一般,*,*,*,*,いっしょ,イッショ,イッショ,ふしぎな老人
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,ふしぎな老人
、,記号,読点,*,*,*,*,、,、,、,ふしぎな老人
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,ふしぎな老人
公園,名詞,一般,*,*,*,*,公園,コウエン,コーエン,ふしぎな老人
で,助詞,格助詞,一般,*,*,*,で,デ,デ,ふしぎな老人
、,記号,読点,*,*,*,*,、,、,、,ふしぎな老人
よく,副詞,一般,*,*,*,*,よく,ヨク,ヨク,ふしぎな老人
野球,名詞,一般,*,*,*,*,野球,ヤキュウ,ヤキュー,ふしぎな老人
など,助詞,副助詞,*,*,*,*,など,ナド,ナド,ふしぎな老人
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,ふしぎな老人
て,助詞,接続助詞,*,*,*,*,て,テ,テ,ふしぎな老人
遊ぶ,動詞,自立,*,*,五段・バ行,基本形,遊ぶ,アソブ,アソブ,ふしぎな老人
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,ふしぎな老人
でし,助動詞,*,*,*,特殊・デス,連用形,です,デシ,デシ,ふしぎな老人
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,ふしぎな老人
。,記号,句点,*,*,*,*,。,。,。,ふしぎな老人
公園,名詞,一般,*,*,*,*,公園,コウエン,コーエン,ふしぎな老人
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,ふしぎな老人
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,ふしぎな老人
、,記号,読点,*,*,*,*,、,、,、,ふしぎな老人
毎日,名詞,固有名詞,組織,*,*,*,毎日,マイニチ,マイニチ,ふしぎな老人
の,助詞,連体化,*,*,*,*,の,ノ,ノ,ふしぎな老人
よう,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,ふしぎな老人
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,ふしぎな老人
、,記号,読点,*,*,*,*,、,、,、,ふしぎな老人
みょう,名詞,形容動詞語幹,*,*,*,*,みょう,ミョウ,ミョー,ふしぎな老人
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,ふしぎな老人
おじいさん,名詞,一般,*,*,*,*,おじいさん,オジイサン,オジーサン,ふしぎな老人
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,ふしぎな老人
、,記号,読点,*,*,*,*,、,、,、,ふしぎな老人
来,動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,ふしぎな老人
て,助詞,接続助詞,*,*,*,*,て,テ,テ,ふしぎな老人
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,ふしぎな老人
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,ふしぎな老人
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,ふしぎな老人
。,記号,句点,*,*,*,*,。,。,。,ふしぎな老人
しら,名詞,一般,*,*,*,*,しら,シラ,シラ,ふしぎな老人
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,ふしぎな老人
