表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,,（上）事実,,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,（上）事実,,0,0
九月,名詞,副詞可能,*,*,*,*,九月,クガツ,クガツ,,（上）事実,,0,0
初旬,名詞,副詞可能,*,*,*,*,初旬,ショジュン,ショジュン,,（上）事実,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,（上）事実,,0,0
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,,（上）事実,,0,0
蒸し暑い,形容詞,自立,*,*,形容詞・アウオ段,基本形,蒸し暑い,ムシアツイ,ムシアツイ,,（上）事実,,0,0
晩,名詞,一般,*,*,*,*,晩,バン,バン,,（上）事実,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,（上）事実,,0,0
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,,（上）事実,,0,0
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,,（上）事実,,0,0
あっ,助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ,,（上）事実,,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,（上）事実,,0,0
。,記号,句点,*,*,*,*,。,。,。,,（上）事実,,0,0
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,,（上）事実,,0,1
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,（上）事実,,0,1
、,記号,読点,*,*,*,*,、,、,、,,（上）事実,,0,1
Ｄ,記号,アルファベット,*,*,*,*,Ｄ,ディー,ディー,,（上）事実,,0,1
坂,名詞,一般,*,*,*,*,坂,サカ,サカ,,（上）事実,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,（上）事実,,0,1
大通り,名詞,一般,*,*,*,*,大通り,オオドオリ,オードーリ,,（上）事実,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,（上）事実,,0,1
中程,名詞,一般,*,*,*,*,中程,ナカホド,ナカホド,,（上）事実,,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,（上）事実,,0,1
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,,（上）事実,,0,1
、,記号,読点,*,*,*,*,、,、,、,,（上）事実,,0,1
白,名詞,固有名詞,人名,姓,*,*,白,ハク,ハク,,（上）事実,,0,1
梅軒,名詞,固有名詞,人名,名,*,*,梅軒,バイケン,バイケン,,（上）事実,,0,1
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,,（上）事実,,0,1
、,記号,読点,*,*,*,*,、,、,、,,（上）事実,,0,1
行きつけ,名詞,一般,*,*,*,*,行きつけ,イキツケ,イキツケ,,（上）事実,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,（上）事実,,0,1
カフェ,名詞,一般,*,*,*,*,カフェ,カフェ,カフェ,,（上）事実,,0,1
で,助詞,格助詞,一般,*,*,*,で,デ,デ,,（上）事実,,0,1
、,記号,読点,*,*,*,*,、,、,、,,（上）事実,,0,1
冷し,動詞,自立,*,*,五段・サ行,連用形,冷す,ヒヤシ,ヒヤシ,,（上）事実,,0,1
コーヒー,名詞,一般,*,*,*,*,コーヒー,コーヒー,コーヒー,,（上）事実,,0,1
