表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
名探偵明智小五郎,名詞,固有名詞,一般,*,*,*,名探偵・明智小五郎,メイタンテイアケチコゴロウ,メイタンテイアケチコゴロー,,きもだめしの会,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,きもだめしの会,,0,0
少年,名詞,一般,*,*,*,*,少年,ショウネン,ショーネン,,きもだめしの会,,0,0
助手,名詞,一般,*,*,*,*,助手,ジョシュ,ジョシュ,,きもだめしの会,,0,0
、,記号,読点,*,*,*,*,、,、,、,,きもだめしの会,,0,0
小林芳雄,名詞,固有名詞,人名,一般,*,*,小林芳雄,コバヤシヨシオ,コバヤシヨシオ,,きもだめしの会,,0,0
君,名詞,接尾,人名,*,*,*,君,クン,クン,,きもだめしの会,,0,0
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,きもだめしの会,,0,0
団長,名詞,一般,*,*,*,*,団長,ダンチョウ,ダンチョー,,きもだめしの会,,0,0
と,助詞,格助詞,一般,*,*,*,と,ト,ト,,きもだめしの会,,0,0
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,,きもだめしの会,,0,0
少年探偵団,名詞,固有名詞,組織,*,*,*,少年探偵団,ショウネンタンテイダン,ショーネンタンテイダン,,きもだめしの会,,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,きもだめしの会,,0,0
、,記号,読点,*,*,*,*,、,、,、,,きもだめしの会,,0,0
小学校,名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー,,きもだめしの会,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,きもだめしの会,,0,0
五,名詞,数,*,*,*,*,五,ゴ,ゴ,,きもだめしの会,,0,0
、,記号,読点,*,*,*,*,、,、,、,,きもだめしの会,,0,0
六年生,名詞,固有名詞,一般,*,*,*,六年生,ロクネンセイ,ロクネンセイ,,きもだめしの会,,0,0
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,,きもだめしの会,,0,0
